created with gta texter vII
version 2000
gtavc
MAIN	ACCURA	Accuracy
MAIN	ADMIRAL	Admiral
MAIN	AMBULAN	Ambulance
MAIN	AMBUL_M	'PARAMEDIC'
MAIN	AMMU	Go inside Ammu-Nation to buy a weapon.
MAIN	AMMUHLP	If you need any weapons visit ~h~Ammu-Nation~w~. Follow the ~h~Gun blip~w~ on the radar.
MAIN	ANGEL	Angel
MAIN	ANSWER	Press the ~h~~k~~PED_ANSWER_PHONE~~w~ to answer your cell phone.
MAIN	APACHE	Hunter delivered to helipad in Ocean Beach.
MAIN	APR	Apr
MAIN	ARC_1	~y~1. LEO TEAL 100000 POINTS - WINNER!
MAIN	ARC_10	10. CRAFYDMC 50000 POINTS
MAIN	ARC_11	Press the~h~ ~k~~VEHICLE_ENTER_EXIT~ ~w~button to exit.
MAIN	ARC_2	2. KAZINAK 99999 POINTS
MAIN	ARC_3	3. V0V41K 89500 POINTS
MAIN	ARC_4	4. 1826 82600 POINTS
MAIN	ARC_5	5. OFFEAREAST550 75400 POINTS
MAIN	ARC_6	6. CLAUDE 69000 POINTS
MAIN	ARC_7	7. UMBRELLA01 61250 POINTS
MAIN	ARC_8	8. DOUGLAS 56000 POINTS
MAIN	ARC_9	9. RODRIGO 54600 POINTS
MAIN	ARC_F	LEADERBOARD
MAIN	ARC_L	LOADING: ~1~%
MAIN	ARMOUR	Body Armor
MAIN	ASM	ASSASSIN MISSIONS
MAIN	ASM1_1	~g~Mr. Teal, your help in eradicating those out-of-towners was invaluable to business. I have more work for you with a more 'hands-on' approach. Your next job is taped under the phone.
MAIN	ASM1_2	~g~Get to the payphone outside the Mall in Washington.
MAIN	ASM1_3	~g~Carl Pearson, Pizza Delivery Man. He must not complete his deliveries.
MAIN	ASM1_4	~g~Kill the Pizza Delivery Man before he completes his deliveries.
MAIN	ASM1_B	Your next job is taped under the phone.
MAIN	ASM1_C	I have more work for you with a more 'hands-on' approach.
MAIN	ASM3_1	~g~Go and get the weapon Mr. Black has left for you.
MAIN	ASM3_10	~g~You failed to kill them all.
MAIN	ASM3_2	~g~Don't get too close to the target or he may spot you!
MAIN	ASM3_3	~g~For a quick safe kill find a secluded spot nearby with a clear view of your target.
MAIN	ASM3_4	~g~He's seen you! Better waste him any way you can!
MAIN	ASM3_5	~g~Marcus Hammond is working on an advertising board in Washington.
MAIN	ASM3_6	~g~Franco Carter is working for DBP Security off Ocean Drive.
MAIN	ASM3_7	~g~Dick Tanner is situated near the Jewelry shop in Vice Point.
MAIN	ASM3_8	~g~Nick Kong is situated near Washington Beach.
MAIN	ASM3_9	~g~Stuntman Driver is situated in Washington.
MAIN	ASM3_A	TEXT NO LONGER NEEDED
MAIN	ASM3_B	TEXT NO LONGER NEEDED
